Code,Name,Link
КАЯГЕНТ,47.9873527202374,42.387968500397065
КАЯЛА,39.676644690806796,46.93555065542264
КЕРЧИК,40.57612750660666,47.82995234720156
ТУРИНСКАЯ,114.25503156103451,51.613172060863654
ТЫГДА,126.33307918783544,53.112765695830724
ТЫМЕРСОЛЬ,126.12475966558287,53.38150435351172
ТЮКАН,129.6200736313124,49.96221819268012
УКРАИНА,128.42290928737933,50.987960308437735
УКУРЕЙ,117.0191880238334,52.34559741745552
УЛЕЙ,117.15457421056617,52.64841711932426
УЛЕТКА,111.79429962404157,51.695685432742934
УЛЕТУЙ,129.95258968693085,49.56695821275987
УЛЬРУЧЬИ,124.21114145103193,53.841759412185795
УЛЬЯКАН,117.92995408298013,53.15654896356838
УЛЯГИР,123.26979647878908,54.040421645225706
УЛЯТКА,122.50071816036515,54.0391444298222
УРКАН,124.46708771856166,53.7869878083103
УРУЛЬГА,114.7924011775617,51.762506194571365
УРУЛЮНГУЙ,118.11771700727027,50.26735644317849
УРУША,122.8824703924584,54.051961048143816
УРЮМ,118.11021583824444,53.16579092170664
УСТЬ-ГОРБИЦА,116.72532143436582,52.82145024058519
УСТЬ-КУРЛЫЧ,117.45667261841167,52.16208818223345
УСТЬ-ПЕРА,128.134939033412,51.45005421369332
УТАН,116.98693837756925,52.58350771587573
УТЕНИ,121.63856313640245,54.060912196780386
УШУМУН,126.54024185019212,52.78795970544526
ХАЛАН,122.60316882768471,54.06868881925523
ХАРАГУН,111.17948459363083,51.5516236933018
ХАРАНОР,116.68691904166336,50.11772876578777
ХАРЧЕТОЙ,110.0493321425357,51.42108249753187
ХИЛОК,110.45430876957967,51.36204093923185
КРИКЛИВЕЦ (ПП),28.924279,48.321905
КРОПИВНИЦКАЯ,31.523437,48.117473
КРЫЖОПОЛЬ,28.864828,48.383599
КСЕНИЕВО,30.6126,46.369302
КУБАНКА,30.712771,46.971177
КУБЛИЧ,29.643389,48.677397
КУЗЬМЕНКОВО,30.244784,46.733461
КУЛЕВЧА,29.907314,46.039436
КУЛИНДОРОВО,30.798308,46.631687
КУЛЬБАКИНО,32.068885,46.915389
КУЦОВКА,32.788158,48.312342
КУЧЕРОВКА,32.428382,48.721655
КУЧУРГАН,30.002437,46.751086
КУЧУРГАН (ЭКСП. НА ЛИВАДУ),30.003156,46.753902
КУЧУРГАН (ЭКСП. НА НОВОСАВИЦКУЮ),30.003236,46.753932
КУШНЕРЕВКА,32.459886,48.762484
ЛЕЙПЦИГ,29.072034,46.266764
ЛЕКАРЕВКА,33.162728,48.818622
ЛЕЛЕКОВКА,32.126108,48.518856
ЛЕНПОСЕЛОК,30.351935,46.653861
ЛЕПЕТИХА,33.066554,47.300991
ЛИПОВЕЦ,29.228754,49.243746
ЛОЦКИНО,32.377834,47.20707
ЛЫСЯНКА,30.851057,49.265168
ЛЮБАШЕВКА,30.273063,47.846482
ТОМИЛИНО,37.95472167857327,55.65531893559079
ТОПКАНОВО,38.47356987165736,54.70723805016776
ТРЕПОЛЬЕ,38.83173469807797,54.336350392288224
ТРЕХГОРКА,37.337427693114996,55.69627886168813
ТРИКОТАЖНАЯ,37.40115586046528,55.83281159897004
ТРОИЦКАЯ,36.900685220553584,55.88612493808344
ТРОСНА,33.792882210627994,53.47681197808117
ТРУБЧЕВСК,33.769945738950966,52.53804504988826
ТРУДОВАЯ,37.514911832446714,56.12071712942682
ТУГОЛЕСЬЕ,39.79828197357111,55.5646489570724
ТУЛА 2-КУРСКАЯ,37.55683228339734,54.16934850981583
ТУЛА I-КУРСКАЯ,37.57720255819652,54.19927197457874
ТУЛА-ВЯЗЕМСКАЯ,37.62870377546298,54.209150745371794
ТУЛА-ЛИХВИНСКАЯ,37.56349376878205,54.18230268476445
ТУМАНОВО,34.64434578965693,55.42555652442237
ТУПИК,35.82546572289254,54.02055612978808
ТУРДЕЙ,38.07526202418083,53.36539106943304
ТУРИСТ,37.51205200496269,56.24345446312536
ТУРЛАТОВО,39.83585358664662,54.55093991148272
